ts_ms,valid_L,interp_L,side_L,pLx,pLy,pLz,qLx,qLy,qLz,qLw,valid_R,interp_R,side_R,pRx,pRy,pRz,qRx,qRy,qRz,qRw
1779333500997.499,1,1,-1,-0.016988,0.239478,0.333491,0.745257,0.214056,0.615690,0.140350,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501030.832,1,1,-1,-0.016930,0.239759,0.335127,0.787021,0.270052,0.497559,0.245163,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501064.166,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501097.499,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501130.832,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501164.166,1,1,-1,-0.016695,0.240883,0.341667,0.717503,0.400658,-0.082201,0.563831,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501197.499,1,1,0,-0.016636,0.241163,0.343302,0.643579,0.405081,-0.232271,0.606437,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501230.832,1,0,0,-0.015396,0.241521,0.343478,0.590108,0.419232,-0.226032,0.651864,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501264.166,1,0,0,-0.014302,0.240427,0.345387,0.521309,0.441281,-0.212297,0.698883,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501297.499,1,1,-1,-0.009952,0.238818,0.344517,0.692023,0.416475,0.325699,0.491500,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501330.832,1,1,1,-0.004817,0.237169,0.342885,0.568963,0.175241,0.803415,-0.009757,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501364.166,1,0,0,-0.009779,0.236418,0.349173,0.643526,0.447089,0.052050,0.619093,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501397.499,1,1,-1,-0.010868,0.235687,0.352218,0.544236,0.439156,-0.195211,0.687635,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501430.832,1,1,-1,-0.010505,0.234910,0.354076,0.556188,0.435416,-0.192369,0.681221,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501464.166,1,1,-1,-0.010142,0.234134,0.355934,0.568025,0.431586,-0.189488,0.674667,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501497.499,1,1,0,-0.009779,0.233358,0.357791,0.579745,0.427668,-0.186568,0.667974,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501530.832,1,0,0,-0.010099,0.234733,0.359840,0.590152,0.421180,-0.217055,0.653617,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501564.166,1,0,0,-0.009453,0.235525,0.360432,0.503823,0.459194,-0.239150,0.691456,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501597.499,1,0,0,-0.008427,0.233346,0.363632,0.548087,0.457689,-0.247925,0.654717,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501630.832,1,0,0,-0.006725,0.232120,0.365077,0.598045,0.419882,-0.243622,0.637722,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501664.166,1,0,0,-0.006713,0.231709,0.367355,0.620842,0.416918,-0.244062,0.617388,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501697.499,1,0,0,-0.006943,0.233086,0.366316,0.485018,0.492320,-0.302309,0.656497,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501730.832,1,0,0,-0.009132,0.231934,0.368257,0.609580,0.414283,-0.189004,0.648891,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501764.166,1,0,0,-0.007523,0.230035,0.368495,0.712147,0.344633,-0.182852,0.583643,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501797.499,1,0,0,-0.007914,0.230562,0.368311,0.762833,0.298001,-0.171016,0.547754,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501830.832,1,0,0,-0.008141,0.230421,0.370363,0.698884,0.343145,-0.166607,0.605025,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501864.166,1,0,0,-0.005797,0.231172,0.370645,0.744858,0.278889,-0.149106,0.587515,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501897.499,1,0,0,-0.005390,0.232625,0.372295,0.715107,0.303129,-0.159660,0.609298,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501930.832,1,0,0,-0.007602,0.234026,0.374957,0.642374,0.333813,-0.166733,0.669421,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501964.166,1,0,0,-0.006105,0.233647,0.375687,0.701118,0.284905,-0.128024,0.640993,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333501997.499,1,0,0,-0.005775,0.232798,0.376335,0.681482,0.312346,-0.160484,0.642081,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333502030.832,1,0,0,-0.006154,0.232062,0.377544,0.624500,0.373570,-0.194385,0.657768,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333502064.166,1,0,0,-0.007436,0.233018,0.377799,0.534071,0.463773,-0.279384,0.649328,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333502097.499,1,0,0,-0.006863,0.231168,0.379465,0.566478,0.440777,-0.251390,0.649324,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333502130.832,1,0,0,-0.003535,0.231310,0.379729,0.540252,0.467132,-0.222665,0.663578,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333502164.166,1,0,0,-0.002705,0.231662,0.383699,0.526253,0.492042,-0.230424,0.654108,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333502197.499,1,0,0,-0.002219,0.231757,0.385391,0.480505,0.548068,-0.289655,0.620352,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1779333502230.832,1,0,0,-0.000650,0.232102,0.388184,0.479095,0.546850,-0.282596,0.625750,0,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
